label,message
spam,अभिनंदन! तुम्ही ₹5000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1000
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1001
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1002
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1003
spam,तुमच्या खात्यात ₹75000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1004
spam,मोफत गिफ्ट व्हाउचर मिळवा. संदर्भ क्र.: 1005
spam,तुम्ही Lucky Draw मध्ये निवडले गेले आहात. संदर्भ क्र.: 1006
spam,तुमचे ATM कार्ड ब्लॉक होणार आहे. संदर्भ क्र.: 1007
spam,तुमचे वीज बिल तात्काळ भरा. संदर्भ क्र.: 1008
spam,तुमच्या नावावर आलेले पार्सल अडले आहे. शुल्क भरा. संदर्भ क्र.: 1009
spam,अभिनंदन! तुम्ही ₹75000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1010
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1011
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1012
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1013
spam,तुमच्या खात्यात ₹25000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1014
spam,मोफत गिफ्ट व्हाउचर मिळवा. संदर्भ क्र.: 1015
spam,तुम्ही Lucky Draw मध्ये निवडले गेले आहात. संदर्भ क्र.: 1016
spam,तुमचे ATM कार्ड ब्लॉक होणार आहे. संदर्भ क्र.: 1017
spam,तुमचे वीज बिल तात्काळ भरा. संदर्भ क्र.: 1018
spam,तुमच्या नावावर आलेले पार्सल अडले आहे. शुल्क भरा. संदर्भ क्र.: 1019
spam,अभिनंदन! तुम्ही ₹25000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1020
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1021
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1022
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1023
spam,तुमच्या खात्यात ₹5000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1024
spam,मोफत गिफ्ट व्हाउचर मिळवा. संदर्भ क्र.: 1025
spam,तुम्ही Lucky Draw मध्ये निवडले गेले आहात. संदर्भ क्र.: 1026
spam,तुमचे ATM कार्ड ब्लॉक होणार आहे. संदर्भ क्र.: 1027
spam,तुमचे वीज बिल तात्काळ भरा. संदर्भ क्र.: 1028
spam,तुमच्या नावावर आलेले पार्सल अडले आहे. शुल्क भरा. संदर्भ क्र.: 1029
spam,अभिनंदन! तुम्ही ₹5000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1030
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1031
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1032
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1033
spam,तुमच्या खात्यात ₹75000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1034
spam,मोफत गिफ्ट व्हाउचर मिळवा. संदर्भ क्र.: 1035
spam,तुम्ही Lucky Draw मध्ये निवडले गेले आहात. संदर्भ क्र.: 1036
spam,तुमचे ATM कार्ड ब्लॉक होणार आहे. संदर्भ क्र.: 1037
spam,तुमचे वीज बिल तात्काळ भरा. संदर्भ क्र.: 1038
spam,तुमच्या नावावर आलेले पार्सल अडले आहे. शुल्क भरा. संदर्भ क्र.: 1039
spam,अभिनंदन! तुम्ही ₹75000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1040
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1041
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1042
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1043
spam,तुमच्या खात्यात ₹25000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1044
spam,मोफत गिफ्ट व्हाउचर मिळवा. संदर्भ क्र.: 1045
spam,तुम्ही Lucky Draw मध्ये निवडले गेले आहात. संदर्भ क्र.: 1046
spam,तुमचे ATM कार्ड ब्लॉक होणार आहे. संदर्भ क्र.: 1047
spam,तुमचे वीज बिल तात्काळ भरा. संदर्भ क्र.: 1048
spam,तुमच्या नावावर आलेले पार्सल अडले आहे. शुल्क भरा. संदर्भ क्र.: 1049
spam,अभिनंदन! तुम्ही ₹25000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1050
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1051
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1052
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1053
spam,तुमच्या खात्यात ₹5000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1054
spam,मोफत गिफ्ट व्हाउचर मिळवा. संदर्भ क्र.: 1055
spam,तुम्ही Lucky Draw मध्ये निवडले गेले आहात. संदर्भ क्र.: 1056
spam,तुमचे ATM कार्ड ब्लॉक होणार आहे. संदर्भ क्र.: 1057
spam,तुमचे वीज बिल तात्काळ भरा. संदर्भ क्र.: 1058
spam,तुमच्या नावावर आलेले पार्सल अडले आहे. शुल्क भरा. संदर्भ क्र.: 1059
spam,अभिनंदन! तुम्ही ₹5000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1060
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1061
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1062
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1063
spam,तुमच्या खात्यात ₹75000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1064
spam,मोफत गिफ्ट व्हाउचर मिळवा. संदर्भ क्र.: 1065
spam,तुम्ही Lucky Draw मध्ये निवडले गेले आहात. संदर्भ क्र.: 1066
spam,तुमचे ATM कार्ड ब्लॉक होणार आहे. संदर्भ क्र.: 1067
spam,तुमचे वीज बिल तात्काळ भरा. संदर्भ क्र.: 1068
spam,तुमच्या नावावर आलेले पार्सल अडले आहे. शुल्क भरा. संदर्भ क्र.: 1069
spam,अभिनंदन! तुम्ही ₹75000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1070
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1071
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1072
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1073
spam,तुमच्या खात्यात ₹25000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1074
spam,मोफत गिफ्ट व्हाउचर मिळवा. संदर्भ क्र.: 1075
spam,तुम्ही Lucky Draw मध्ये निवडले गेले आहात. संदर्भ क्र.: 1076
spam,तुमचे ATM कार्ड ब्लॉक होणार आहे. संदर्भ क्र.: 1077
spam,तुमचे वीज बिल तात्काळ भरा. संदर्भ क्र.: 1078
spam,तुमच्या नावावर आलेले पार्सल अडले आहे. शुल्क भरा. संदर्भ क्र.: 1079
spam,अभिनंदन! तुम्ही ₹25000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1080
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1081
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1082
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1083
spam,तुमच्या खात्यात ₹5000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1084
spam,मोफत गिफ्ट व्हाउचर मिळवा. संदर्भ क्र.: 1085
spam,तुम्ही Lucky Draw मध्ये निवडले गेले आहात. संदर्भ क्र.: 1086
spam,तुमचे ATM कार्ड ब्लॉक होणार आहे. संदर्भ क्र.: 1087
spam,तुमचे वीज बिल तात्काळ भरा. संदर्भ क्र.: 1088
spam,तुमच्या नावावर आलेले पार्सल अडले आहे. शुल्क भरा. संदर्भ क्र.: 1089
spam,अभिनंदन! तुम्ही ₹5000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1090
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1091
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1092
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1093
spam,तुमच्या खात्यात ₹75000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1094
spam,मोफत गिफ्ट व्हाउचर मिळवा. संदर्भ क्र.: 1095
spam,तुम्ही Lucky Draw मध्ये निवडले गेले आहात. संदर्भ क्र.: 1096
spam,तुमचे ATM कार्ड ब्लॉक होणार आहे. संदर्भ क्र.: 1097
spam,तुमचे वीज बिल तात्काळ भरा. संदर्भ क्र.: 1098
spam,तुमच्या नावावर आलेले पार्सल अडले आहे. शुल्क भरा. संदर्भ क्र.: 1099
spam,अभिनंदन! तुम्ही ₹75000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1100
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1101
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1102
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1103
spam,तुमच्या खात्यात ₹25000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1104
spam,मोफत गिफ्ट व्हाउचर मिळवा. संदर्भ क्र.: 1105
spam,तुम्ही Lucky Draw मध्ये निवडले गेले आहात. संदर्भ क्र.: 1106
spam,तुमचे ATM कार्ड ब्लॉक होणार आहे. संदर्भ क्र.: 1107
spam,तुमचे वीज बिल तात्काळ भरा. संदर्भ क्र.: 1108
spam,तुमच्या नावावर आलेले पार्सल अडले आहे. शुल्क भरा. संदर्भ क्र.: 1109
spam,अभिनंदन! तुम्ही ₹25000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1110
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1111
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1112
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1113
spam,तुमच्या खात्यात ₹5000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1114
spam,मोफत गिफ्ट व्हाउचर मिळवा. संदर्भ क्र.: 1115
spam,तुम्ही Lucky Draw मध्ये निवडले गेले आहात. संदर्भ क्र.: 1116
spam,तुमचे ATM कार्ड ब्लॉक होणार आहे. संदर्भ क्र.: 1117
spam,तुमचे वीज बिल तात्काळ भरा. संदर्भ क्र.: 1118
spam,तुमच्या नावावर आलेले पार्सल अडले आहे. शुल्क भरा. संदर्भ क्र.: 1119
spam,अभिनंदन! तुम्ही ₹5000 जिंकले आहेत. लगेच लिंकवर क्लिक करा. संदर्भ क्र.: 1120
spam,तुमचे KYC अपडेट करा नाहीतर खाते बंद होईल. संदर्भ क्र.: 1121
spam,तुमचे UPI खाते verify करा. संदर्भ क्र.: 1122
spam,QR Code स्कॅन करून बक्षीस मिळवा. संदर्भ क्र.: 1123
spam,तुमच्या खात्यात ₹75000 जमा करण्यासाठी OTP टाका. संदर्भ क्र.: 1124
ham,उद्या कॉलेजला येणार का? (संदेश 1)
ham,मी ५ वाजता घरी येतो. (संदेश 2)
ham,आजचा क्लास किती वाजता आहे? (संदेश 3)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 4)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 5)
ham,मी थोडा उशीर होईल. (संदेश 6)
ham,उद्या परीक्षा आहे. (संदेश 7)
ham,मी तुला नंतर फोन करतो. (संदेश 8)
ham,आज ऑफिसला सुट्टी आहे. (संदेश 9)
ham,जेवण झाले का? (संदेश 10)
ham,उद्या कॉलेजला येणार का? (संदेश 11)
ham,मी ५ वाजता घरी येतो. (संदेश 12)
ham,आजचा क्लास किती वाजता आहे? (संदेश 13)
ham,तुझा प्रोजेक्ट पूर्ण झाला का? (संदेश 14)
ham,चल संध्याकाळी फिरायला जाऊ. (संदेश 15)
ham,मी थोडा उशीर होईल. (संदेश 16)
ham,उद्या परीक्षा आहे. (संदेश 17)
ham,मी तुला नंतर फोन करतो. (संदेश 18)
ham,आज ऑफिसला सुट्टी आहे. (संदेश 19)
ham,जेवण झाले का? (संदेश 20)
ham,उद्या कॉलेजला येणार का? (संदेश 21)
ham,मी ५ वाजता घरी येतो. (संदेश 22)
